id,type_desc,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
12421,BusNo,1:15:47,90.04386773,04-11-18 2:46,13.891217,99.79795,04-11-18 4:02,14.204633,99.099267
12421,BusNo,3:22:09,140.5449618,04-11-18 13:49,15.30195,98.404833,04-11-18 17:11,14.34655,98.965633
12422,BusNo,1:03:32,73.83538669,04-11-18 15:26,14.7432,98.641317,04-11-18 16:30,14.24965,99.04575
13697,BusNo,0:41:08,30.98339089,04-11-18 9:05,14.160633,99.29647,04-11-18 9:46,14.089189,99.279976
13699,BusNo,0:23:28,23.23412346,04-11-18 9:13,14.138307,99.38084,04-11-18 9:36,14.08992,99.28007
18362,BusNo,0:48:04,28.92608142,04-11-18 6:49,14.1307,99.43625,04-11-18 7:37,14.212708,99.235275
18362,BusNo,0:34:47,38.47628273,04-11-18 8:59,14.213063,99.237755,04-11-18 9:34,14.345583,98.96798
29768,BusNo,0:19:23,9.713881232,04-11-18 10:31,14.430877,99.12726,04-11-18 10:50,14.38158,99.13812
35900,BusNo,0:24:01,33.09753622,04-11-18 12:35,14.051021,99.44959,04-11-18 12:59,14.132338,99.15937
35900,BusNo,0:47:25,23.66106035,04-11-18 13:24,14.135157,99.15325,04-11-18 14:12,14.279096,99.00525
36721,BusNo,0:55:41,43.73586944,04-11-18 10:47,14.047062,99.50842,04-11-18 11:43,14.120891,99.14045
36722,BusNo,0:45:02,42.41372367,04-11-18 10:14,14.051761,99.503006,04-11-18 10:59,14.11982,99.14059
45096,BusNo,0:39:19,35.53250115,04-11-18 9:59,14.211742,99.066203,04-11-18 10:39,14.04107,99.243095
46216,BusNo,0:44:00,42.06943991,04-11-18 10:25,14.063822,99.491598,04-11-18 11:09,14.106775,99.164285
46216,BusNo,0:28:00,31.19685354,04-11-18 12:37,14.131522,99.16089,04-11-18 13:05,14.339712,98.971593
46219,BusNo,1:08:24,46.35777373,04-11-18 9:27,13.982237,99.609265,04-11-18 10:36,14.038442,99.253747
46219,BusNo,0:19:00,16.99577887,04-11-18 11:42,14.046148,99.255007,04-11-18 12:01,14.128183,99.167112
54884,BusNo,1:04:58,67.54665748,04-11-18 10:16,14.47559,98.846988,04-11-18 11:21,14.089093,99.279957
59517,BusNo,1:33:55,50.60732992,04-11-18 9:31,14.016729,99.530569,04-11-18 11:05,14.112755,99.152418
65189,BusNo,1:02:02,55.96555713,04-11-18 12:55,14.0593,99.4961,04-11-18 13:57,14.3749,99.1444
66781,BusNo,0:26:02,26.96083384,04-11-18 10:46,14.0452,99.4991,04-11-18 11:12,14.0945,99.2607
67684,BusNo,1:16:30,59.72878758,04-11-18 11:45,14.04366,99.505714,04-11-18 13:01,14.379788,99.140739
67684,BusNo,0:50:00,46.07288553,04-11-18 15:58,14.377713,99.142754,04-11-18 16:48,14.238295,99.057564
67684,BusNo,0:15:00,1.078376117,04-11-18 8:11,14.281582,99.001778,04-11-18 8:26,14.281499,99.001343
67927,BusNo,0:41:00,32.27908329,04-11-18 12:45,14.21927,99.063179,04-11-18 13:26,14.078048,99.270927
67927,BusNo,1:04:02,55.73037689,04-11-18 11:08,14.043385,99.504219,04-11-18 12:12,14.227744,99.066338
68289,BusNo,1:01:36,45.14455368,04-11-18 9:47,14.030476,99.527618,04-11-18 10:49,14.106225,99.164673
68289,BusNo,0:19:43,17.45151791,04-11-18 11:56,14.110619,99.154129,04-11-18 12:15,14.232893,99.062599
68289,BusNo,0:17:14,10.26218602,04-11-18 13:35,14.353384,98.95501,04-11-18 13:52,14.281334,99.000648
68292,BusNo,0:31:55,39.90267546,04-11-18 12:07,14.068874,99.399216,04-11-18 12:39,14.213158,99.084
68962,BusNo,0:59:49,45.37585128,04-11-18 12:18,14.0425,99.5137,04-11-18 13:18,14.1064,99.165
69010,BusNo,0:33:18,39.48957951,04-11-18 10:53,14.0548,99.4899,04-11-18 11:26,14.1077,99.1571
69010,BusNo,0:19:10,17.61357223,04-11-18 12:24,14.107,99.1589,04-11-18 12:43,14.2295,99.065
69010,BusNo,1:06:37,65.77811045,04-11-18 6:26,14.038,99.5221,04-11-18 7:33,14.2883,99.0086
